"TIME","GEO","CITIZEN","AGE","SEX","UNIT","Value","Flag and Footnotes"
"2013","Belgium","Total","Total","Total","Number","118,256",""
"2013","Bulgaria","Total","Total","Total","Number","18,570","p"
"2013","Czech Republic","Total","Total","Total","Number","30,124",""
"2013","Denmark","Total","Total","Total","Number","60,312",""
"2013","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Number","692,713",""
"2013","Estonia","Total","Total","Total","Number","4,109",""
"2013","Ireland","Total","Total","Total","Number","59,294","p"
"2013","Greece","Total","Total","Total","Number","57,946",""
"2013","Spain","Total","Total","Total","Number","280,772",""
"2013","France","Total","Total","Total","Number","332,640",""
"2013","Croatia","Total","Total","Total","Number","10,378",""
"2013","Italy","Total","Total","Total","Number","307,454",""
"2013","Cyprus","Total","Total","Total","Number","13,149",""
"2013","Latvia","Total","Total","Total","Number","8,299",""
"2013","Lithuania","Total","Total","Total","Number","22,011",""
"2013","Luxembourg","Total","Total","Total","Number","21,098",""
"2013","Hungary","Total","Total","Total","Number","38,968",""
"2013","Malta","Total","Total","Total","Number","8,428",""
"2013","Netherlands","Total","Total","Total","Number","129,428",""
"2013","Austria","Total","Total","Total","Number","101,866",""
"2013","Poland","Total","Total","Total","Number","220,311",""
"2013","Portugal","Total","Total","Total","Number","17,554",""
"2013","Romania","Total","Total","Total","Number","153,646",""
"2013","Slovenia","Total","Total","Total","Number","13,871",""
"2013","Slovakia","Total","Total","Total","Number","5,149",""
"2013","Finland","Total","Total","Total","Number","31,941",""
"2013","Sweden","Total","Total","Total","Number","115,845",""
"2013","United Kingdom","Total","Total","Total","Number","526,046",""
"2013","Iceland","Total","Total","Total","Number","6,406",""
"2013","Liechtenstein","Total","Total","Total","Number","696",""
"2013","Norway","Total","Total","Total","Number","68,313",""
"2013","Switzerland","Total","Total","Total","Number","160,157",""
"2013","Montenegro","Total","Total","Total","Number",":",""
"2013","Former Yugoslav Republic of Macedonia, the","Total","Total","Total","Number",":",""
"2013","Turkey","Total","Total","Total","Number",":",""
"2013","Andorra","Total","Total","Total","Number",":",""
"2013","Belarus","Total","Total","Total","Number",":",""
"2013","Bosnia and Herzegovina","Total","Total","Total","Number",":",""
"2013","Moldova","Total","Total","Total","Number",":",""
"2013","Russia","Total","Total","Total","Number",":",""
"2013","San Marino","Total","Total","Total","Number",":",""
"2013","United States","Total","Total","Total","Number",":",""
"2013","Kyrgyzstan","Total","Total","Total","Number",":",""
"2013","Tajikistan","Total","Total","Total","Number",":",""
"2013","Uzbekistan","Total","Total","Total","Number",":",""
"2013","Armenia","Total","Total","Total","Number",":",""
"2013","Azerbaijan","Total","Total","Total","Number",":",""
